Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-08,16000.0,19890.0,16000.0,16695.0,1287158,23302579723.0,16370.71,-,1.0,16000.0,19890.0,16000.0,16695.0,16370.71
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-09,19105.0,21785.0,18095.0,21675.0,1086822,21495827778.0,21630.63,-,1.0,19105.0,21785.0,18095.0,21675.0,21630.63
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-10,19845.0,20870.0,17125.0,18240.0,804234,15441476366.0,18405.9,-,1.0,19845.0,20870.0,17125.0,18240.0,18405.9
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-11,17095.0,20200.0,16625.0,19225.0,1009052,18845400640.0,19229.93,-,1.0,17095.0,20200.0,16625.0,19225.0,19229.93
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-12,22600.0,22865.0,20045.0,20045.0,820988,18106875098.0,19875.71,-,1.0,22600.0,22865.0,20045.0,20045.0,19875.71
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-15,22500.0,23380.0,22245.0,22500.0,538300,12277045852.0,22588.48,-,1.0,22500.0,23380.0,22245.0,22500.0,22588.48
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-16,24400.0,24900.0,22650.0,24445.0,600792,14435175014.0,24613.98,-,1.0,24400.0,24900.0,22650.0,24445.0,24613.98
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-17,23795.0,27495.0,23765.0,27380.0,581370,14993542984.0,27616.18,-,1.0,23795.0,27495.0,23765.0,27380.0,27616.18
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-18,28095.0,32270.0,28035.0,30845.0,1038768,31333552323.0,31135.14,-,1.0,28095.0,32270.0,28035.0,30845.0,31135.14
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-19,34390.0,36500.0,31000.0,32845.0,1452068,48425863927.0,32881.19,-,1.0,34390.0,36500.0,31000.0,32845.0,32881.19
