Date,국가명,ISIN,종목명,보관잔고금액,종목구분
2026-04-01,홍콩,HK0001205258,XL2CSOPHYNIX,64455912,SK하이닉스 2x (7709)
2026-04-01,홍콩,HK0001121349,XL2CSOPSMSN,53820058,삼성 2x (7747/9747)
2026-04-02,홍콩,HK0001205258,XL2CSOPHYNIX,55916498,SK하이닉스 2x (7709)
2026-04-02,홍콩,HK0001121349,XL2CSOPSMSN,48211198,삼성 2x (7747/9747)
2026-04-03,홍콩,HK0001205258,XL2CSOPHYNIX,55918398,SK하이닉스 2x (7709)
2026-04-03,홍콩,HK0001121349,XL2CSOPSMSN,48212837,삼성 2x (7747/9747)
2026-04-06,홍콩,HK0001205258,XL2CSOPHYNIX,55918102,SK하이닉스 2x (7709)
2026-04-06,홍콩,HK0001121349,XL2CSOPSMSN,48212581,삼성 2x (7747/9747)
2026-04-07,홍콩,HK0001205258,XL2CSOPHYNIX,55921310,SK하이닉스 2x (7709)
2026-04-07,홍콩,HK0001121349,XL2CSOPSMSN,48215348,삼성 2x (7747/9747)
2026-04-08,홍콩,HK0001205258,XL2CSOPHYNIX,82911031,SK하이닉스 2x (7709)
2026-04-08,홍콩,HK0001121349,XL2CSOPSMSN,64454685,삼성 2x (7747/9747)
2026-04-09,홍콩,HK0001205258,XL2CSOPHYNIX,74599374,SK하이닉스 2x (7709)
2026-04-09,홍콩,HK0001121349,XL2CSOPSMSN,60783274,삼성 2x (7747/9747)
2026-04-10,홍콩,HK0001205258,XL2CSOPHYNIX,78630363,SK하이닉스 2x (7709)
2026-04-10,홍콩,HK0001121349,XL2CSOPSMSN,62043847,삼성 2x (7747/9747)
2026-04-13,홍콩,HK0001205258,XL2CSOPHYNIX,80780788,SK하이닉스 2x (7709)
2026-04-13,홍콩,HK0001121349,XL2CSOPSMSN,59674529,삼성 2x (7747/9747)
2026-04-14,홍콩,HK0001205258,XL2CSOPHYNIX,94249188,SK하이닉스 2x (7709)
2026-04-14,홍콩,HK0001121349,XL2CSOPSMSN,62535098,삼성 2x (7747/9747)
2026-04-15,홍콩,HK0001205258,XL2CSOPHYNIX,95813788,SK하이닉스 2x (7709)
2026-04-15,홍콩,HK0001121349,XL2CSOPSMSN,64120009,삼성 2x (7747/9747)
2026-04-16,홍콩,HK0001205258,XL2CSOPHYNIX,100453538,SK하이닉스 2x (7709)
2026-04-16,홍콩,HK0001121349,XL2CSOPSMSN,70200640,삼성 2x (7747/9747)
2026-04-17,홍콩,HK0001205258,XL2CSOPHYNIX,96057756,SK하이닉스 2x (7709)
2026-04-17,홍콩,HK0001121349,XL2CSOPSMSN,69366828,삼성 2x (7747/9747)
2026-04-20,홍콩,HK0001205258,XL2CSOPHYNIX,100347180,SK하이닉스 2x (7709)
2026-04-20,홍콩,HK0001121349,XL2CSOPSMSN,68268165,삼성 2x (7747/9747)
2026-04-21,홍콩,HK0001205258,XL2CSOPHYNIX,111072088,SK하이닉스 2x (7709)
2026-04-21,홍콩,HK0001121349,XL2CSOPSMSN,71264984,삼성 2x (7747/9747)
2026-04-22,홍콩,HK0001205258,XL2CSOPHYNIX,110438390,SK하이닉스 2x (7709)
2026-04-22,홍콩,HK0001121349,XL2CSOPSMSN,70351909,삼성 2x (7747/9747)
2026-04-23,홍콩,HK0001205258,XL2CSOPHYNIX,105201485,SK하이닉스 2x (7709)
2026-04-23,홍콩,HK0001121349,XL2CSOPSMSN,76266365,삼성 2x (7747/9747)
2026-04-24,홍콩,HK0001205258,XL2CSOPHYNIX,104782778,SK하이닉스 2x (7709)
2026-04-24,홍콩,HK0001121349,XL2CSOPSMSN,74111989,삼성 2x (7747/9747)
2026-04-27,홍콩,HK0001205258,XL2CSOPHYNIX,115102503,SK하이닉스 2x (7709)
2026-04-27,홍콩,HK0001121349,XL2CSOPSMSN,77773465,삼성 2x (7747/9747)
2026-04-28,홍콩,HK0001205258,XL2CSOPHYNIX,116238528,SK하이닉스 2x (7709)
2026-04-28,홍콩,HK0001121349,XL2CSOPSMSN,74409451,삼성 2x (7747/9747)
2026-04-29,홍콩,HK0001205258,XL2CSOPHYNIX,117564377,SK하이닉스 2x (7709)
2026-04-29,홍콩,HK0001121349,XL2CSOPSMSN,77926315,삼성 2x (7747/9747)
2026-04-30,홍콩,HK0001205258,XL2CSOPHYNIX,117711673,SK하이닉스 2x (7709)
2026-04-30,홍콩,HK0001121349,XL2CSOPSMSN,75443251,삼성 2x (7747/9747)
2026-05-01,홍콩,HK0001205258,XL2CSOPHYNIX,117711673,SK하이닉스 2x (7709)
2026-05-01,홍콩,HK0001121349,XL2CSOPSMSN,75443251,삼성 2x (7747/9747)
2026-05-04,홍콩,HK0001205258,XL2CSOPHYNIX,145118246,SK하이닉스 2x (7709)
2026-05-04,홍콩,HK0001121349,XL2CSOPSMSN,80751385,삼성 2x (7747/9747)
2026-05-05,홍콩,HK0001205258,XL2CSOPHYNIX,145606935,SK하이닉스 2x (7709)
2026-05-05,홍콩,HK0001121349,XL2CSOPSMSN,81852231,삼성 2x (7747/9747)
2026-05-06,홍콩,HK0001205258,XL2CSOPHYNIX,172113588,SK하이닉스 2x (7709)
2026-05-06,홍콩,HK0001121349,XL2CSOPSMSN,101617922,삼성 2x (7747/9747)
2026-05-07,홍콩,HK0001205258,XL2CSOPHYNIX,183823225,SK하이닉스 2x (7709)
2026-05-07,홍콩,HK0001121349,XL2CSOPSMSN,109098352,삼성 2x (7747/9747)
2026-05-08,홍콩,HK0001205258,XL2CSOPHYNIX,182229660,SK하이닉스 2x (7709)
2026-05-08,홍콩,HK0001121349,XL2CSOPSMSN,109257531,삼성 2x (7747/9747)
2026-05-11,홍콩,HK0001205258,XL2CSOPHYNIX,229040317,SK하이닉스 2x (7709)
2026-05-11,홍콩,HK0001121349,XL2CSOPSMSN,118760653,삼성 2x (7747/9747)
2026-05-12,홍콩,HK0001205258,XL2CSOPHYNIX,212181175,SK하이닉스 2x (7709)
2026-05-12,홍콩,HK0001121349,XL2CSOPSMSN,116333613,삼성 2x (7747/9747)
