Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금,종목구분
2025-12-29,홍콩,HK0001121349,XL2CSOPSMSN,476878,93027,569905,383851,삼성 2x (7747/9747)
2025-12-30,홍콩,HK0001205258,XL2CSOPHYNIX,1270518,530500,1801018,740017,SK하이닉스 2x (7709)
2025-12-30,홍콩,HK0001121349,XL2CSOPSMSN,388921,348285,737206,40636,삼성 2x (7747/9747)
2026-01-02,홍콩,HK0001205258,XL2CSOPHYNIX,689173,1054847,1744020,-365674,SK하이닉스 2x (7709)
2026-01-02,홍콩,HK0001121349,XL2CSOPSMSN,713166,516103,1229269,197063,삼성 2x (7747/9747)
2026-01-05,홍콩,HK0001205258,XL2CSOPHYNIX,711967,884897,1596865,-172930,SK하이닉스 2x (7709)
2026-01-05,홍콩,HK0001121349,XL2CSOPSMSN,616267,605206,1221473,11061,삼성 2x (7747/9747)
2026-01-06,홍콩,HK0001205258,XL2CSOPHYNIX,358564,1895643,2254207,-1537079,SK하이닉스 2x (7709)
2026-01-06,홍콩,HK0001121349,XL2CSOPSMSN,2046658,180541,2227199,1866118,삼성 2x (7747/9747)
2026-01-07,홍콩,HK0001121349,XL2CSOPSMSN,1209539,606513,1816052,603025,삼성 2x (7747/9747)
2026-01-07,홍콩,HK0001205258,XL2CSOPHYNIX,692093,1006405,1698498,-314311,SK하이닉스 2x (7709)
2026-01-08,홍콩,HK0001205258,XL2CSOPHYNIX,837175,1716086,2553261,-878912,SK하이닉스 2x (7709)
2026-01-08,홍콩,HK0001121349,XL2CSOPSMSN,700606,1095948,1796555,-395342,삼성 2x (7747/9747)
2026-01-09,홍콩,HK0001205258,XL2CSOPHYNIX,1692056,2178988,3871044,-486931,SK하이닉스 2x (7709)
2026-01-09,홍콩,HK0001121349,XL2CSOPSMSN,1027349,1376341,2403690,-348992,삼성 2x (7747/9747)
2026-01-12,홍콩,HK0001205258,XL2CSOPHYNIX,807148,1119670,1926818,-312522,SK하이닉스 2x (7709)
2026-01-12,홍콩,HK0001121349,XL2CSOPSMSN,928177,572104,1500281,356073,삼성 2x (7747/9747)
2026-01-13,홍콩,HK0001205258,XL2CSOPHYNIX,1374138,613353,1987491,760785,SK하이닉스 2x (7709)
2026-01-13,홍콩,HK0001121349,XL2CSOPSMSN,738306,371639,1109945,366667,삼성 2x (7747/9747)
2026-01-14,홍콩,HK0001205258,XL2CSOPHYNIX,963235,1515600,2478835,-552366,SK하이닉스 2x (7709)
2026-01-14,홍콩,HK0001121349,XL2CSOPSMSN,1253129,568885,1822014,684244,삼성 2x (7747/9747)
2026-01-15,홍콩,HK0001205258,XL2CSOPHYNIX,2871252,2240403,5111655,630849,SK하이닉스 2x (7709)
2026-01-15,홍콩,HK0001121349,XL2CSOPSMSN,491454,557097,1048552,-65643,삼성 2x (7747/9747)
2026-01-16,홍콩,HK0001205258,XL2CSOPHYNIX,547497,644148,1191645,-96651,SK하이닉스 2x (7709)
