구분,시장구분,회사명,종목코드,상장일,상장주식수(천주)
주권,유가증권,이화산업,000760,1994-04-29,2800
주권,유가증권,동원시스템즈,014820,1994-03-29,29255
주권,유가증권,삼성중공업,010140,1994-01-28,880000
주권,유가증권,모토닉,009680,1994-01-14,21733
주권,유가증권,화신,010690,1994-01-14,34920
주권,유가증권,SP삼화,000390,1993-09-10,27203
주권,유가증권,경동나비엔,009450,1993-08-31,14569
주권,유가증권,DB,012030,1993-01-06,201174
주권,유가증권,SGC에너지,005090,1993-01-06,14409
주권,유가증권,대림바스,005750,1992-12-23,16592
주권,유가증권,대한해운,005880,1992-04-23,322747
주권,유가증권,휴니드테크놀러지스,005870,1991-09-03,14116
주권,유가증권,수산세보틱스,017550,1991-08-30,62399
주권,유가증권,롯데케미칼,011170,1991-05-30,42775
주권,유가증권,세아베스틸지주,001430,1991-03-12,35862
주권,유가증권,호텔신라,008770,1991-03-12,40000
주권,유가증권,태경비케이,014580,1991-03-07,27583
주권,유가증권,화승코퍼레이션,013520,1991-02-22,50051
주권,유가증권,신흥,004080,1991-02-08,9300
주권,유가증권,화승인더스트리,006060,1991-02-04,55320
주권,유가증권,극동유화,014530,1991-01-31,34869
주권,유가증권,고려산업,002140,1991-01-14,24939
주권,유가증권,대현,016090,1990-09-20,44282
주권,유가증권,케이비아이동국실업,001620,1990-09-15,22259
주권,유가증권,광명전기,017040,1990-09-14,43338
주권,유가증권,부산산업,011390,1990-09-14,1056
주권,유가증권,STX,011810,1990-09-12,31018
주권,유가증권,고려아연,010130,1990-07-28,20873
주권,유가증권,팜젠사이언스,004720,1990-06-15,22654
주권,유가증권,무림페이퍼,009200,1990-06-09,41609
주권,유가증권,현대차증권,001500,1990-06-09,61833
주권,유가증권,금비,008870,1990-06-08,1000
주권,유가증권,원림,005820,1990-04-20,2298
주권,유가증권,서흥,008490,1990-03-27,11569
주권,유가증권,성문전자,014910,1990-03-24,22457
주권,유가증권,HLB글로벌,003580,1990-03-23,50664
주권,유가증권,일진홀딩스,015860,1990-03-22,49347
주권,유가증권,대영포장,014160,1990-03-06,108395
주권,유가증권,영화금속,012280,1990-01-25,49525
주권,유가증권,신풍제약,019170,1990-01-20,54410
주권,유가증권,동성제약,002210,1990-01-19,96620
주권,유가증권,아센디오,012170,1989-12-20,20250
주권,유가증권,한올바이오파마,009420,1989-12-18,52241
