공시일,시각,애프터,종목코드,종목명,decile,관리부담,사유성격,정지사유,동반공시,정지공시_원문
20240408,17:22:42,Y,025900,동화기업,D4,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"동화기업(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240409,17:40:59,Y,211050,인카금융서비스,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"인카금융서비스(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240411,07:38:17,,187790,나노,D5,뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,(주)나노 (정정)감사보고서 제출(2022 사업연도),(주)나노 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240411,15:29:17,,196490,디에이테크놀로지,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)디에이테크놀로지 조회공시요구(풍문또는보도)(전 대표이사의 횡령·배임혐의설),(주)디에이테크놀로지 주권매매거래정지(풍문 또는 보도 관련)
20240411,17:45:25,Y,436530,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,케이비제22호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20240411,18:37:13,Y,317240,TS트릴리온,D6,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)티에스트릴리온 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),(주)티에스트릴리온 주권매매거래정지(풍문 또는 보도 관련)
20240412,15:49:16,Y,435620,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",하나금융25호기업인수목적 주식회사 기업인수목적회사관련합병취소ㆍ부인사실발생,"하나금융25호기업인수목적 주식회사 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
20240415,11:34:13,,430690,한싹,D3,뉴스형(즉시조치),자본·조직변동,무상증자,(주)한싹 무상증자결정,(주)한싹 주권매매거래정지(무상증자)
20240415,16:08:11,Y,099410,동방선기,D5,뉴스형(즉시조치),자본·조직변동,영업양수도,(주)동방선기 주주명부폐쇄기간 또는 기준일 설정,(주)동방선기 주권매매거래정지(영업양수도)
20240415,16:08:29,Y,333430,일승,D2,뉴스형(즉시조치),자본·조직변동,영업양수도,(주)일승 영업양도 결정,(주)일승 주권매매거래정지(영업양수도)
20240415,17:34:34,Y,002800,신신제약,D4,뉴스형(즉시조치),부실·위험,중요한 영업정지,신신제약(주) 영업정지,신신제약(주) 주권매매거래정지(중요한 영업정지)
20240417,17:42:48,Y,049470,비트플래닛,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"에스지에이(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240417,18:13:31,Y,006580,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,대양제지공업(주) 관리종목지정사유추가(상장폐지사유 발생),대양제지공업(주) 주권매매거래정지(상장폐지 사유발생)
