공시일,종목코드,종목명,사유성격,정지사유,시차_분,동반공시_원문,동반공시_유형,정지공시_원문
20240412,435620,(상장폐지),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",0,하나금융25호기업인수목적 주식회사 기업인수목적회사관련합병취소ㆍ부인사실발생,기업인수목적회사관련합병취소ㆍ부인사실발생,"하나금융25호기업인수목적 주식회사 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
20240412,435620,(상장폐지),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",0,하나금융25호기업인수목적 주식회사 (정정)회사합병 결정(SPAC 소멸합병 - 철회),(정정)회사합병 결정(SPAC 소멸합병 - 철회),"하나금융25호기업인수목적 주식회사 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
20240415,002800,신신제약,부실·위험,중요한 영업정지,0,신신제약(주) 영업정지,영업정지,신신제약(주) 주권매매거래정지(중요한 영업정지)
20240415,099410,동방선기,자본·조직변동,영업양수도,0,(주)동방선기 주주명부폐쇄기간 또는 기준일 설정,주주명부폐쇄기간 또는 기준일 설정,(주)동방선기 주권매매거래정지(영업양수도)
20240415,099410,동방선기,자본·조직변동,영업양수도,0,(주)동방선기 주주총회소집결의(임시주주총회),주주총회소집결의,(주)동방선기 주권매매거래정지(영업양수도)
20240415,099410,동방선기,자본·조직변동,영업양수도,0,(주)동방선기 영업양수 결정,영업양수 결정,(주)동방선기 주권매매거래정지(영업양수도)
20240415,333430,일승,자본·조직변동,영업양수도,1,(주)일승 영업양수 결정(종속회사의 주요경영사항),영업양수 결정,(주)일승 주권매매거래정지(영업양수도)
20240415,333430,일승,자본·조직변동,영업양수도,0,(주)일승 영업양도 결정,영업양도 결정,(주)일승 주권매매거래정지(영업양수도)
20240415,430690,한싹,자본·조직변동,무상증자,0,(주)한싹 무상증자결정,무상증자결정,(주)한싹 주권매매거래정지(무상증자)
20240417,006580,(상장폐지),부실·위험,상장폐지 사유발생,0,대양제지공업(주) 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,대양제지공업(주) 주권매매거래정지(상장폐지 사유발생)
20240417,006580,(상장폐지),부실·위험,상장폐지 사유발생,0,대양제지공업(주) 기타시장안내(주식분산 미달에 의한 상장폐지 관련),기타시장안내,대양제지공업(주) 주권매매거래정지(상장폐지 사유발생)
20240417,393360,(상장폐지),부실·위험,상장폐지 사유발생,0,신한제8호기업인수목적 주식회사 상장폐지,상장폐지,신한제8호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20240417,393360,(상장폐지),부실·위험,상장폐지 사유발생,0,신한제8호기업인수목적 주식회사 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,신한제8호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20240422,025980,아난티,부실·위험,회계처리 기준위반,0,(주)아난티 회계처리기준위반행위로인한검찰기소,회계처리기준위반행위로인한검찰기소,(주)아난티 주권매매거래정지(회계처리 기준위반)
20240422,900280,(상장폐지),부실·위험,풍문 또는 보도 관련,0,케이만금세기차륜집단유한공사 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,케이만금세기차륜집단유한공사 주권매매거래정지(풍문 또는 보도 관련)
20240424,288330,파라택시스코리아,자본·조직변동,무상증자,0,브릿지바이오테라퓨틱스 주식회사 유무상증자결정,유무상증자결정,브릿지바이오테라퓨틱스 주식회사 주권매매거래정지(무상증자)
20240424,430460,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,한화플러스제3호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),플러스제3호기업인수목적 회사합병 결정,한화플러스제3호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240425,331520,밸로프,자본·조직변동,영업양수도,0,(주)밸로프 영업양수 결정,영업양수 결정,(주)밸로프 주권매매거래정지(영업양수도)
20240425,458320,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,케이비제26호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),회사합병 결정,케이비제26호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240429,391060,(상장폐지),부실·위험,상장폐지 사유발생,1,엔에이치기업인수목적20호(주) 상장폐지,상장폐지,엔에이치기업인수목적20호(주) 주권매매거래정지(상장폐지 사유발생)
20240429,391060,(상장폐지),부실·위험,상장폐지 사유발생,0,엔에이치기업인수목적20호(주) 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,엔에이치기업인수목적20호(주) 주권매매거래정지(상장폐지 사유발생)
20240430,418170,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,하나금융22호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,하나금융22호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240502,036930,주성엔지니어링,자본·조직변동,분할,0,주성엔지니어링(주) 회사분할 결정(물적분할),회사분할 결정,주성엔지니어링(주) 주권매매거래정지(분할)
20240502,036930,주성엔지니어링,자본·조직변동,분할,0,주성엔지니어링(주) 회사분할 결정(인적분할),회사분할 결정,주성엔지니어링(주) 주권매매거래정지(분할)
20240502,052260,현대바이오랜드,자본·조직변동,무상증자,0,(주)현대바이오랜드 무상증자결정,무상증자결정,(주)현대바이오랜드 주권매매거래정지(무상증자)
20240503,079970,투비소프트,자본·조직변동,자본감소,1,(주)투비소프트 유상증자결정(주주배정증자),유상증자결정,(주)투비소프트 주권매매거래정지(자본감소)
20240503,079970,투비소프트,자본·조직변동,자본감소,0,(주)투비소프트 감자결정,감자결정,(주)투비소프트 주권매매거래정지(자본감소)
20240507,199820,제일일렉트릭,자본·조직변동,무상증자,1,제일전기공업(주) 무상증자결정,무상증자결정,제일전기공업(주) 주권매매거래정지(무상증자)
20240508,178320,서진시스템,자본·조직변동,분할,0,(주)서진시스템 회사분할 결정(인적분할),회사분할 결정,(주)서진시스템 주권매매거래정지(분할)
20240514,060260,뉴보텍,자본·조직변동,자본감소,0,(주)뉴보텍 감자결정,감자결정,(주)뉴보텍 주권매매거래정지(자본감소)
20240514,119850,지엔씨에너지,자본·조직변동,우회상장여부 및 요건충족확인,0,(주)지엔씨에너지 타법인 주식 및 출자증권 양수결정,타법인 주식 및 출자증권 양수결정,(주)지엔씨에너지 주권매매거래정지(우회상장여부 및 요건충족확인)
