code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,nxt_yr,krx_yr
199820,605,605,9511532796500.0,15721541812.396694,0.0,2.5,ST,171094000000.0,제일일렉트릭,N,D1,756967604941.9355,3798334879130.3633
083450,605,605,9454376097500.0,15627067929.752066,0.0,2.5,ST,894776500000.0,GST,N,D1,2777450155451.613,3775509926724.423
356680,583,583,9109653792000.0,15625478202.401373,0.0,2.409090909090909,ST,349657777000.0,엑스게이트,N,D1,5197176455012.903,3637848544000.0
039200,606,606,9443316267500.0,15583030144.38944,0.0,2.5041322314049586,ST,1187916364800.0,오스코텍,N,D1,2162917414012.9033,3771093294942.2446
137400,606,606,9325320715000.0,15388318011.551155,0.0,2.5041322314049586,ST,754549686800.0,피엔티,N,D1,1943595018554.8389,3723972958795.38
095610,586,586,8998494852500.0,15355793263.651876,0.0,2.4214876033057853,ST,3440272000000.0,테스,N,D1,3080254913077.4194,3593458340437.294
060250,606,606,9235152904000.0,15239526244.224422,0.0,2.5041322314049586,ST,518473488010.0,NHN KCP,N,D1,5057750894296.774,3687965351102.3105
092870,606,606,9179821663500.0,15148220566.831684,0.0,2.5041322314049586,ST,229824535170.0,엑시콘,N,D1,221408187993.5484,3665869377173.2676
008830,605,605,9144553687000.0,15114964771.900826,0.0,2.5,ST,93380332800.0,대동기어,N,D1,519711278012.90326,3651785465765.677
290650,596,596,8989976642500.0,15083853427.013422,0.0,2.462809917355372,ST,1960697480800.0,엘앤씨바이오,N,D1,5451931245341.936,3590056679018.152
226590,321,321,4841215327500.0,15081667686.915888,0.0,1.3264462809917354,ST,136317492480.0,엠디바이스,N,D1,320560979129.0323,1933290609331.6833
0015N0,143,143,2154905877000.0,15069271867.132868,0.0,0.5909090909090909,ST,67915378800.0,아로마티카,N,D1,0.0,860539970683.1683
318060,206,206,3102806541500.0,15062167677.184464,0.0,0.8512396694214877,ST,206703774500.0,그래피,N,D1,0.0,1239074559476.8977
078150,596,596,8968338534000.0,15047547875.838926,0.0,2.462809917355372,ST,190994786960.0,HB테크놀러지,N,D1,0.0,3581415718198.02
